GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activite2,c306.sudoku,HorsBornesException,4,0,0,0,2,0,1,0,1,0
Activite2,c306.sudoku,CaractereInterditException,4,0,0,0,2,0,1,0,1,0
Activite2,c306.sudoku,ValeurInitialeModificationException,4,0,0,0,2,0,1,0,1,0
Activite2,c306.sudoku,ValeurImpossibleException,5,0,0,0,2,0,1,0,1,0
Activite2,c306.sudoku,GrilleImpl,224,0,46,0,39,0,31,0,8,0
Activite2,c306.sudoku,GrilleParser,151,0,24,0,30,0,13,0,1,0
Activite2,c306.sudoku,ElementDeGrilleImplAsChar,13,0,0,0,6,0,3,0,3,0
